agent,seed,task_id,total_reward,steps,success,safety_violations,do_above_floor_pct,substrate_in_band_pct,format_valid_pct,final_DO_pct,final_S_g_L,final_P_g_L,final_X_g_L
rule_based,1,do-recovery-medium,12.843571713702621,50,0,0,100.0,2.0,100.0,100.0,3.798929406699102,3.619137505639065,15.893399644322082
rule_based,4,do-recovery-medium,13.223260152844313,50,0,0,100.0,4.0,100.0,100.0,3.927036193328598,4.087559847129851,16.297075276587417
rule_based,5,do-recovery-medium,13.116185057800756,50,0,0,100.0,4.0,100.0,100.0,3.732236864893954,3.353277681105098,16.23138294928537
rule_based,7,do-recovery-medium,12.868502856324477,50,0,0,100.0,4.0,100.0,100.0,3.9598802593715665,3.727715192852323,16.188914678838636
rule_based,42,do-recovery-medium,12.617641421881338,50,0,0,100.0,2.0,100.0,100.0,3.9635081648821275,3.407679522012239,16.49320203413995
